,AvgLineDensity,FontColor,FontFamily,FontName,FontSize,FontWeight,LineHeight,LineID,LineStartX,LineStartY,LineText,LineWidth,PageNo,TextGroupSeparator,WordDistance,WordHeight,WordID,WordStartX,WordStartY,WordValue,WordWidth
40,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,12.0,40,8,1292,1920,(PHD),114
41,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,12.0,31,9,1418,1921,and,68
42,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,14.0,24,10,1500,1928,a,21
43,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,16.0,31,11,1537,1921,15,41
44,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,15.0,31,12,1593,1921,hour,83
45,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,14.0,31,13,1690,1921,Mental,120
46,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,16.0,31,14,1826,1921,Health,115
47,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,12.0,31,15,1953,1921,Assessment.,237
48,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,0.0,31,0,301,3012,Fee,71
49,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,13.0,31,1,385,3012,Schedule,171
50,10.0,, swiss, arial,11.5,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,11.0,3,2,567,3030,–,25
51,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,13.0,40,3,605,3012,Psychologists,252
52,10.0,, swiss, arial,11.5,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,11.0,3,4,868,3030,–,24
53,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,16.0,40,5,908,3012,Updated,155
54,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,10.0,40,6,1073,3012,February,169
55,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,11.0,31,7,1253,3012,2016,92
56,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,True,773.0,40,8,2118,3012,Page,97
57,10.0,, swiss, arial,10,,40,0,301,3012,Fee Schedule – Psychologists – Updated February 2016 Page 1,1946,0,False,17.0,30,9,2232,3012,1,15
58,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,0.0,31,0,298,3085,Authorized,203
59,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,11.0,38,1,512,3085,by,45
60,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,10.0,33,2,567,3083,PRO,90
61,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,13.0,38,3,670,3083,"51/2014,",157
62,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,15.0,31,4,842,3085,Medical,145
63,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,10.0,31,5,997,3085,Fees,91
64,8.0,, swiss, arial,11.5,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,12.0,4,6,1100,3102,–,23
65,8.0,, swiss, arial,10,,40,0,298,3083,"Authorized by PRO 51/2014, Medical Fees – Psychologists",1093,0,False,14.0,38,7,1137,3085,Psychologists,254
0,,, roman, times new roman,8,,31,0,1235,191,Health Care Services Phone: (306) 787-4370,758,0,False,0.0,25,0,1235,191,Health,88
1,,, roman, times new roman,8,,31,0,1235,191,Health Care Services Phone: (306) 787-4370,758,0,False,9.0,24,1,1332,192,Care,61
2,,, roman, times new roman,8,,31,0,1235,191,Health Care Services Phone: (306) 787-4370,758,0,False,12.0,25,2,1405,191,Services,111
3,,, roman, times new roman,8,,31,0,1235,191,Health Care Services Phone: (306) 787-4370,758,0,True,169.0,25,3,1685,191,Phone:,90
4,,, roman, times new roman,8,,31,0,1235,191,Health Care Services Phone: (306) 787-4370,758,0,False,12.0,31,4,1787,191,(306),70
5,,, roman, times new roman,8,,31,0,1235,191,Health Care Services Phone: (306) 787-4370,758,0,False,10.0,24,5,1867,192,787-4370,126
6,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,0.0,24,0,1235,231,200,48
7,,, roman, times new roman,11,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,9.0,2,1,1292,245,–,19
8,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,10.0,24,2,1321,231,1881,60
9,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,15.0,25,3,1396,230,Scarth,82
10,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,10.0,24,4,1488,231,Street,75
11,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,True,123.0,25,5,1686,230,Toll-Free,124
12,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,8.0,25,6,1818,230,Phone:,90
13,,, roman, times new roman,8,,25,1,1235,230,200 – 1881 Scarth Street Toll-Free Phone: 1-800-667-7590,901,0,False,14.0,24,7,1922,231,1-800-667-7590,214
14,,, roman, times new roman,8,,33,2,1235,267,Regina SK Fax: (306) 787-4311,722,0,False,0.0,33,0,1235,267,Regina,95
15,,, roman, times new roman,8,,33,2,1235,267,Regina SK Fax: (306) 787-4311,722,0,False,10.0,24,1,1340,268,SK,42
16,,, roman, times new roman,8,,33,2,1235,267,Regina SK Fax: (306) 787-4311,722,0,True,303.0,24,2,1685,268,Fax:,57
17,,, roman, times new roman,8,,33,2,1235,267,Regina SK Fax: (306) 787-4311,722,0,False,10.0,33,3,1752,267,(306),71
18,,, roman, times new roman,8,,33,2,1235,267,Regina SK Fax: (306) 787-4311,722,0,False,10.0,24,4,1833,268,787-4311,124
19,,, roman, times new roman,8,,25,3,1237,306,S4P 4L1 Toll-Free Fax: 1-888-844-7773,864,0,False,0.0,24,0,1237,307,S4P,50
20,,, roman, times new roman,8,,25,3,1237,306,S4P 4L1 Toll-Free Fax: 1-888-844-7773,864,0,False,10.0,23,1,1297,307,4L1,49
21,,, roman, times new roman,8,,25,3,1237,306,S4P 4L1 Toll-Free Fax: 1-888-844-7773,864,0,True,340.0,25,2,1686,306,Toll-Free,124
22,,, roman, times new roman,8,,25,3,1237,306,S4P 4L1 Toll-Free Fax: 1-888-844-7773,864,0,False,8.0,24,3,1818,307,Fax:,58
23,,, roman, times new roman,8,,25,3,1237,306,S4P 4L1 Toll-Free Fax: 1-888-844-7773,864,0,False,12.0,24,4,1888,307,1-888-844-7773,213
24,,, swiss, arial,10,,40,0,972,667,Treatment Billing Summary THER,1089,0,False,0.0,32,0,972,668,Treatment,190
25,,, swiss, arial,10,,40,0,972,667,Treatment Billing Summary THER,1089,0,False,14.0,39,1,1176,668,Billing,105
26,,, swiss, arial,10,,40,0,972,667,Treatment Billing Summary THER,1089,0,False,15.0,40,2,1296,667,Summary,177
27,,, swiss, arial,10,,40,0,972,667,Treatment Billing Summary THER,1089,0,True,474.0,30,3,1947,668,THER,114
28,,, swiss, arial,10,,31,1,1257,716,For,60,0,True,0.0,31,0,1257,716,For,60
29,,, swiss, arial,10,,40,2,1038,762,Monthly/Bi-Monthly Billings,494,0,False,0.0,40,0,1038,762,Monthly/Bi-Monthly,353
30,,, swiss, arial,10,,40,2,1038,762,Monthly/Bi-Monthly Billings,494,0,True,12.0,39,1,1403,763,Billings,129
31,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,0.0,33,0,323,858,Service,137
32,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,16.0,31,1,476,860,Provider:,160
33,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,25.0,33,2,661,858,ABC,86
34,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,15.0,33,3,762,858,Clinic,100
35,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,True,523.0,38,4,1385,860,Billing,106
36,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,16.0,31,5,1507,860,Period:,125
37,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,16.0,33,6,1648,858,01/06/16,163
38,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,11.0,4,7,1822,877,–,24
39,,, swiss, arial,10,,40,3,323,858,Service Provider: ABC Clinic Billing Period: 01/06/16 – 30/06/16,1695,0,False,12.0,33,8,1858,858,30/06/16,160
40,,, swiss, arial,10,,41,4,323,897,999 – 1 st St.,218,0,False,0.0,31,0,323,907,999,68
41,,, swiss, arial,10,,41,4,323,897,999 – 1 st St.,218,0,False,11.0,3,1,402,925,–,25
42,,, swiss, arial,10,,41,4,323,897,999 – 1 st St.,218,0,True,15.0,30,2,442,907,1,11
43,,, swiss, arial,10,,41,4,323,897,999 – 1 st St.,218,0,False,8.0,15,3,461,902,st,21
44,,, swiss, arial,10,,41,4,323,897,999 – 1 st St.,218,0,False,13.0,31,4,495,907,St.,46
45,,, swiss, arial,10,,37,5,323,955,"Saskatoon, SK S4X 7S9",460,0,False,0.0,37,0,323,955,"Saskatoon,",204
46,,, swiss, arial,10,,37,5,323,955,"Saskatoon, SK S4X 7S9",460,0,False,15.0,32,1,542,955,SK,55
47,,, swiss, arial,10,,37,5,323,955,"Saskatoon, SK S4X 7S9",460,0,True,25.0,32,2,622,955,S4X,78
48,,, swiss, arial,10,,37,5,323,955,"Saskatoon, SK S4X 7S9",460,0,False,12.0,32,3,712,955,7S9,71
49,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,0.0,32,0,326,1003,Phone:,125
50,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,16.0,32,1,467,1003,777-9999,174
51,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,39.0,32,2,680,1003,Fax:,73
52,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,17.0,32,3,770,1003,777-888,151
53,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,True,466.0,40,4,1387,1002,Caregiver,179
54,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,15.0,39,5,1581,1003,Billing,106
55,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,15.0,32,6,1702,1003,Number:,155
56,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,29.0,33,7,1886,1002,PSY,81
57,,, swiss, arial,10,,40,6,326,1002,Phone: 777-9999 Fax: 777-888 Caregiver Billing Number: PSY 079990,1790,0,False,11.0,32,8,1978,1003,079990,138
58,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,0.0,33,0,325,1068,Claimant’s,191
59,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,15.0,31,1,531,1070,Name:,116
60,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,28.0,40,2,675,1068,Sally,90
61,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,12.0,33,3,777,1068,Smith,104
62,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,True,511.0,33,4,1392,1068,Claim,103
63,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,17.0,31,5,1512,1070,Number:,154
64,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,30.0,31,6,1696,1070,1007,86
65,,, swiss, arial,10,,40,0,325,1068,Claimant’s Name: Sally Smith Claim Number: 1007 9786,1562,0,False,15.0,31,7,1797,1070,9786,90
66,,, swiss, arial,10,,31,1,327,1117,111 Albert ST.,258,0,False,0.0,30,0,327,1117,111,58
67,,, swiss, arial,10,,31,1,327,1117,111 Albert ST.,258,0,True,17.0,31,1,402,1117,Albert,110
68,,, swiss, arial,10,,31,1,327,1117,111 Albert ST.,258,0,False,13.0,31,2,525,1117,ST.,60
69,,, swiss, arial,10,,38,2,323,1163,"Saskatoon, SK S7K 9C4",463,0,False,0.0,38,0,323,1163,"Saskatoon,",204
70,,, swiss, arial,10,,38,2,323,1163,"Saskatoon, SK S7K 9C4",463,0,False,15.0,33,1,542,1163,SK,55
71,,, swiss, arial,10,,38,2,323,1163,"Saskatoon, SK S7K 9C4",463,0,True,25.0,33,2,622,1163,S7K,78
72,,, swiss, arial,10,,38,2,323,1163,"Saskatoon, SK S7K 9C4",463,0,False,12.0,33,3,712,1163,9C4,74
73,,, swiss, arial,10,,39,0,326,1233,Fee Descriptor,270,0,False,0.0,32,0,326,1233,Fee,66
74,,, swiss, arial,10,,39,0,326,1233,Fee Descriptor,270,0,True,16.0,39,1,408,1233,Descriptor,188
75,,, swiss, arial,10,,33,0,1057,1232,Fee Code,178,0,False,0.0,32,0,1057,1233,Fee,66
76,,, swiss, arial,10,,33,0,1057,1232,Fee Code,178,0,True,15.0,33,1,1138,1232,Code,97
77,,, swiss, arial,10,,33,0,1446,1232,Number of Units of Care,444,0,False,0.0,32,0,1446,1233,Number,146
78,,, swiss, arial,10,,33,0,1446,1232,Number of Units of Care,444,0,False,11.0,33,1,1603,1232,of,35
79,,, swiss, arial,10,,33,0,1446,1232,Number of Units of Care,444,0,False,14.0,32,2,1652,1233,Units,90
80,,, swiss, arial,10,,33,0,1446,1232,Number of Units of Care,444,0,False,14.0,33,3,1756,1232,of,35
81,,, swiss, arial,10,,33,0,1446,1232,Number of Units of Care,444,0,False,12.0,33,4,1803,1232,Care,87
82,,, swiss, arial,10,,32,0,2063,1233,Total,90,0,True,0.0,32,0,2063,1233,Total,90
83,,, swiss, arial,10,,31,0,326,1355,Mental Health,252,0,False,0.0,31,0,326,1355,Mental,119
84,,, swiss, arial,10,,31,0,326,1355,Mental Health,252,0,True,17.0,31,1,462,1355,Health,115
85,,, swiss, arial,10,,31,1,322,1402,Assessment,228,0,True,0.0,31,0,322,1402,Assessment,228
86,,, swiss, arial,10,,32,0,1055,1378,3000,91,0,True,0.0,32,0,1055,1378,3000,90
87,,, swiss, arial,10,,32,0,1647,1378,15,41,0,True,0.0,32,0,1647,1378,15,41
88,,, swiss, arial,10,,39,0,2062,1376,"$2,218.80",184,0,True,0.0,39,0,2062,1376,"$2,218.80",184
89,,, swiss, arial,10,,40,0,326,1465,Initial Assessment (PHD),457,0,False,0.0,31,0,326,1466,Initial,91
90,,, swiss, arial,10,,40,0,326,1465,Initial Assessment (PHD),457,0,False,13.0,31,1,430,1466,Assessment,228
91,,, swiss, arial,10,,40,0,326,1465,Initial Assessment (PHD),457,0,True,14.0,40,2,672,1465,(PHD),111
92,,, swiss, arial,10,,31,0,1053,1466,4000,93,0,True,0.0,31,0,1053,1466,4000,92
93,,, swiss, arial,10,,31,0,1657,1466,3,21,0,True,0.0,31,0,1657,1466,3,20
94,,, swiss, arial,10,,39,0,2097,1462,$422.64,149,0,True,0.0,39,0,2097,1462,$422.64,149
